MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	CAM3	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
Melamine_18	2850	2100	18	0	Geen	399	540	180	1	3575	778	596	K1 - Front - 3575	Melamine_18	FR	FR	FR	FR	0003575_2.cix	0003575_3.cix	P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	2552	1190	270	2	1824	564	100	K1 - Rugband - 1824	Melamine_18					0001824_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	410	1787	0	3	1608	800	580	K1 - Zijkant rechts - 1608	Melamine_18	CV	CV	CV	CV	0001608_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	399	1174	180	4	4008	778	596	K2 - Front - 4008	Melamine_18	FR	FR	FR	FR	0004008_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	2712	1808	90	5	4700	564	100	K2 - Rugband - 4700	Melamine_18					0004700_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	2574	1808	90	6	4859	564	100	K2 - Rugband - 4859	Melamine_18					0004859_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	292	154	180	7	5018	564	100	K2 - Rugband - 5018	Melamine_18					0005018_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	2064	551	0	8	4544	800	580	K2 - Zijkant links - 4544	Melamine_18	CV	CV	CV	CV	0004544_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	1226	551	0	9	4703	800	580	K2 - Zijkant links - 4703	Melamine_18	CV	CV	CV	CV	0004703_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	2064	1195	180	10	4862	800	580	K2 - Zijkant links - 4862	Melamine_18	CV	CV	CV	CV	0004862_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	1226	1169	0	11	4551	800	580	K2 - Zijkant rechts - 4551	Melamine_18	CV	CV	CV	CV	0004551_2.cix		P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	2086	1787	0	12	4710	800	580	K2 - Zijkant rechts - 4710	Melamine_18	CV	CV	CV	CV	0004710_2.cix	0004710_3.cix	P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
Melamine_18	2850	2100	18	0	Geen	1248	1787	0	13	4869	800	580	K2 - Zijkant rechts - 4869	Melamine_18	CV	CV	CV	CV	0004869_2.cix	0004869_3.cix	P2026.09	Melamine_18#01	Nr bon commande	Extra texte 2	Extra texte 3	Extra texte 4	Extra texte 5	Extra texte 6	Extra texte 7	Extra texte 8	Extra texte 9	Extra texte 10
