MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET
White_18	3050	1300	18	0	Geen	2056	289	180	1	13099	734	568,5	Verschuren - K2 - Zijkant links - 13099	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00013099_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	2761	372	270	2	13786	734	568,5	Verschuren - K3 - Zijkant links - 13786	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00013786_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	2056	1011	0	3	13798	734	568,5	Verschuren - K3 - Zijkant rechts - 13798	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00013798_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	2033	633	180	4	15635	572	100	Verschuren - K4 - Rugband - 15635	White					00015635_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	854	633	0	5	16412	592	100	Verschuren - K5 - Rugband - 16412	White					00016412_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	842	1011	0	6	16184	1674	568,5	Verschuren - K5 - Zijkant rechts - 16184	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00016184_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	2761	1020	270	7	16973	543	568,5	Verschuren - K6 - Bodem - 16973	White	AFS 0.8mm Fin231	NA	NA	NA	00016973_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	1448	633	180	8	17189	577	100	Verschuren - K6 - Rugband - 17189	White					00017189_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	276	657	0	9	17075	543	118,5	Verschuren - K6 - Top - 17075	White	AFS 0.8mm Fin231	NA	NA	NA	00017075_2.cix		P-20	White_18#01
White_18	3050	1300	18	0	Geen	842	289	0	10	16961	1674	568,5	Verschuren - K6 - Zijkant rechts - 16961	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00016961_2.cix		P-20	White_18#01
