MATERIAL	SHEETLENGTH	SHEETWIDTH	SHEETTHICKNESS	GRAIN	GRAINSTR	X	Y	ROTATION	N	ID	PANELLENGTH	PANELWIDTH	DESCRIPTION	MATERIALNAME	EDGE_L1	EDGE_L2	EDGE_B1	EDGE_B2	CAM2	OPLEG2	PROJECT	SHEET	DESC1	DESC2	DESC3	DESC4	DESC5	DESC6	DESC7	DESC8	DESC9	DESC10
White_18	3050	1300	18	0	Geen	2195	1026	90	1	12436	538	568,5	Verschuren - K1 - Bodem - 12436	White	AFS 0.8mm Fin231	NA	NA	NA	00012436_2.cix	OPLEG_2	P-20	White_18#04										
White_18	3050	1300	18	0	Geen	1383	1025	90	2	22376	541	558,5	Verschuren - K3 - Losse Legplank - 22376	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022376_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	2776	289	180	3	15419	538	568,5	Verschuren - K4 - Bodem - 15419	White	AFS 0.8mm Fin231	NA	NA	NA	00015419_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	1407	284	180	4	22484	536	558,5	Verschuren - K4 - Losse Legplank - 22484	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022484_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	274	1011	180	5	15521	538	568,5	Verschuren - K4 - Top - 15521	White	AFS 0.8mm Fin231	NA	NA	NA	00015521_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	2767	1016	0	6	23465	556	558,5	Verschuren - K5 - Losse Legplank - 23465	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00023465_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	283	284	0	7	23619	556	558,5	Verschuren - K5 - Losse Legplank - 23619	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00023619_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	823	1016	180	8	22584	541	558,5	Verschuren - K6 - Losse Legplank - 22584	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022584_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	850	275	270	9	22595	541	558,5	Verschuren - K6 - Losse Legplank - 22595	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022595_2.cix		P-20	White_18#04										
White_18	3050	1300	18	0	Geen	2227	284	0	10	22606	541	558,5	Verschuren - K6 - Losse Legplank - 22606	White	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	AFS 0.8mm Fin231	00022606_2.cix		P-20	White_18#04										
